,property_type,sector,price,bedRoom,bathroom,balcony,floortype,agePossession,built_up_area,store room,study room,servant room,pooja room,others,furnishing_type,luxury_score
987,flat,sector 69,1.4,3.0,3.0,1,high floor,Relatively New,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,high
988,flat,sector 52,1.85,3.0,3.0,3,med floor,Moderately Old,2127.0,0.0,0.0,1.0,0.0,0.0,0.0,low
989,flat,sector 48,1.5,3.0,3.0,3,low floor,Old Property,1600.0,0.0,0.0,0.0,0.0,0.0,1.0,medium
990,flat,sohna road,0.5,2.0,2.0,2,med floor,New Property,591.0,0.0,0.0,0.0,0.0,0.0,0.0,low
991,flat,sector 83,1.25,3.0,2.0,1,med floor,Relatively New,1654.0,1.0,1.0,1.0,1.0,0.0,2.0,high
992,flat,sector 3,1.3,2.0,2.0,2,med floor,Under Construction,1604.0,0.0,0.0,0.0,0.0,0.0,0.0,low
993,flat,sector 65,2.35,3.0,3.0,3,low floor,Relatively New,1493.0,0.0,1.0,1.0,0.0,0.0,1.0,high
994,flat,sector 62,9.2,4.0,6.0,3,med floor,Relatively New,3867.0,0.0,0.0,1.0,1.0,0.0,1.0,high
995,flat,sector 25,3.7,4.0,4.0,3,,Old Property,2333.0,0.0,0.0,1.0,0.0,0.0,1.0,low
996,flat,sector 78,0.9,3.0,3.0,2,low floor,Moderately Old,1900.0,0.0,0.0,1.0,1.0,0.0,0.0,medium
997,flat,sector 110,1.55,3.0,3.0,3,med floor,Relatively New,1400.0,0.0,0.0,1.0,0.0,0.0,1.0,high
998,flat,sector 83,1.1,3.0,3.0,2,med floor,Relatively New,1588.0,1.0,1.0,0.0,1.0,0.0,1.0,high
999,flat,sector 92,0.65,3.0,3.0,3,low floor,Moderately Old,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,medium
